generics,dosage_strengths,indications,instructions,warnings
ไซเมทิโคน,125 มก.,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
Simethicone,125 มิลลิกรัม,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
ไซเมทิโคน,125 มิลลิกรัม,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
Simethicone,125,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
ไซเมทิโคน,125,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
Naproxen,250 mg,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน","2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ"
นาพรอกเซน,250 mg ,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ"
Naproxen Sodium,275 mg,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน","ทุก 6-8 ชั่วโมงตามต้องการ ไม่เกิน 1,375 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ"
นาพรอกเซน โซเดียม,275 mg,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน","ทุก 6-8 ชั่วโมงตามต้องการ ไม่เกิน 1,375 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ"
Naproxen,250 milligram,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ"
นาพรอกเซน,250 milligram,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ"
Naproxen Sodium,275 milligram,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน","ทุก 6-8 ชั่วโมงตามต้องการ ไม่เกิน 1,375 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ"
